Tier,Technology,Architecture,Value
S2:3.5,.NET,MSx10,0.26054
S2:3.5,.NET,MSx10,0.26067
S4:7,.NET,MSx10,0.26904
S4:7,.NET,MSx10,0.26914
S4:7,.NET,MSx10,0.26905
S4:7,.NET,MSx10,0.26913
S4:7,.NET,MSx10,0.26909
S4:7,.NET,MSx10,0.26911
S4:7,.NET,MSx10,0.26907
S4:7,.NET,MSx10,0.26935
S4:7,.NET,MSx10,0.26967
S4:7,.NET,MSx10,0.26959
S4:7,.NET,MSx10,0.26956
S4:7,.NET,MSx10,0.26947
S4:7,.NET,MSx10,0.26942
S4:7,.NET,MSx10,0.26961
S4:7,.NET,MSx10,0.26939
S4:7,.NET,MSx10,0.26958
S4:7,.NET,MSx10,0.2695
S4:7,.NET,MSx10,0.26946
S4:7,.NET,MSx10,0.26948
S4:7,.NET,MSx10,0.26954
P4:14,.NET,Monolith,0.32121
P4:14,.NET,Monolith,0.32155
P4:14,.NET,Monolith,0.32244
P4:14,.NET,Monolith,0.32187
P4:14,.NET,Monolith,0.32176
P4:14,.NET,Monolith,0.32098
P4:14,.NET,Monolith,0.32041
P4:14,.NET,Monolith,0.3206
P4:14,.NET,Monolith,0.32061
P4:14,.NET,Monolith,0.3211
P4:14,.NET,Monolith,0.32128
P4:14,.NET,Monolith,0.32175
P4:14,.NET,Monolith,0.3219
P4:14,.NET,Monolith,0.32285
P4:14,.NET,Monolith,0.32334
P4:14,.NET,Monolith,0.32395
P4:14,.NET,Monolith,0.32408
P4:14,.NET,Monolith,0.32482
P4:14,.NET,Monolith,0.32585
P4:14,.NET,Monolith,0.32689
P4:14,Java,Monolith,0.38578
P4:14,Java,Monolith,0.38649
P4:14,Java,Monolith,0.38744
P4:14,Java,Monolith,0.38775
P4:14,Java,Monolith,0.38734
P4:14,Java,Monolith,0.38622
P4:14,Java,Monolith,0.38656
P4:14,Java,Monolith,0.38624
P4:14,Java,Monolith,0.38638
P4:14,Java,Monolith,0.38533
P4:14,Java,Monolith,0.38536
P4:14,Java,Monolith,0.38505
P4:14,Java,Monolith,0.38603
P4:14,Java,Monolith,0.38655
P4:14,Java,Monolith,0.38774
P4:14,Java,Monolith,0.38862
P4:14,Java,Monolith,0.38926
P4:14,Java,Monolith,0.3898
P4:14,Java,Monolith,0.39053
P4:14,Java,Monolith,0.39061
P4:14,.NET,MSx1,0.31942
P4:14,.NET,MSx1,0.3193
P4:14,.NET,MSx1,0.31906
P4:14,.NET,MSx1,0.31913
P4:14,.NET,MSx1,0.31887
P4:14,.NET,MSx1,0.31884
P4:14,.NET,MSx1,0.31861
P4:14,.NET,MSx1,0.31813
P4:14,.NET,MSx1,0.31769
P4:14,.NET,MSx1,0.31764
P4:14,.NET,MSx1,0.31749
P4:14,.NET,MSx1,0.31741
P4:14,.NET,MSx1,0.31748
P4:14,.NET,MSx1,0.31766
P4:14,.NET,MSx1,0.31754
P4:14,.NET,MSx1,0.31721
P4:14,.NET,MSx1,0.31777
P4:14,.NET,MSx1,0.31782
P4:14,.NET,MSx1,0.31816
P4:14,.NET,MSx1,0.3177
P4:14,.NET,MSx3,0.37708
P4:14,.NET,MSx3,0.3771
P4:14,.NET,MSx3,0.37729
P4:14,.NET,MSx3,0.3771
P4:14,.NET,MSx3,0.37753
P4:14,.NET,MSx3,0.37713
P4:14,.NET,MSx3,0.37785
P4:14,.NET,MSx3,0.37758
P4:14,.NET,MSx3,0.37795
P4:14,.NET,MSx3,0.37756
P4:14,.NET,MSx3,0.37785
P4:14,.NET,MSx3,0.37717
P4:14,.NET,MSx3,0.37747
P4:14,.NET,MSx3,0.37692
P4:14,.NET,MSx3,0.37748
P4:14,.NET,MSx3,0.37712
P4:14,.NET,MSx3,0.37773
P4:14,.NET,MSx3,0.38039
P4:14,.NET,MSx3,0.37774
P4:14,.NET,MSx3,0.37764
P4:14,.NET,MSx6,0.38151
P4:14,.NET,MSx6,0.38125
P4:14,.NET,MSx6,0.38093
P4:14,.NET,MSx6,0.38137
P4:14,.NET,MSx6,0.38081
