Tier,Technology,Architecture,Value
S4:7,.NET,MSx10,3.81212
S4:7,.NET,MSx10,3.81211
S4:7,.NET,MSx10,3.81035
S4:7,.NET,MSx10,3.81053
S4:7,.NET,MSx10,3.80941
S4:7,.NET,MSx10,3.80906
S4:7,.NET,MSx10,3.80907
S4:7,.NET,MSx10,3.80903
S4:7,.NET,MSx10,3.80915
S4:7,.NET,MSx10,3.80916
S4:7,.NET,MSx10,3.80932
S4:7,.NET,MSx10,3.80936
S4:7,.NET,MSx10,3.80945
S4:7,.NET,MSx10,3.80944
S4:7,.NET,MSx10,3.81143
S4:7,.NET,MSx10,3.81145
S4:7,.NET,MSx10,3.81144
P4:14,.NET,Monolit,3.53682
P4:14,.NET,Monolit,3.54065
P4:14,.NET,Monolit,3.53912
P4:14,.NET,Monolit,3.53875
P4:14,.NET,Monolit,3.53873
P4:14,.NET,Monolit,3.5387
P4:14,.NET,Monolit,3.53868
P4:14,.NET,Monolit,3.5387
P4:14,.NET,Monolit,3.53868
P4:14,.NET,Monolit,3.5387
P4:14,.NET,Monolit,3.53871
P4:14,.NET,Monolit,3.53866
P4:14,.NET,Monolit,3.53867
P4:14,.NET,Monolit,3.53867
P4:14,.NET,Monolit,3.53858
P4:14,.NET,Monolit,3.53866
P4:14,.NET,Monolit,3.54035
P4:14,.NET,Monolit,3.54036
P4:14,.NET,Monolit,3.53853
P4:14,.NET,Monolit,3.53853
P4:14,Java,Monolit,3.50165
P4:14,Java,Monolit,3.50609
P4:14,Java,Monolit,3.50604
P4:14,Java,Monolit,3.50608
P4:14,Java,Monolit,3.50522
P4:14,Java,Monolit,3.50519
P4:14,Java,Monolit,3.50522
P4:14,Java,Monolit,3.50258
P4:14,Java,Monolit,3.50255
P4:14,Java,Monolit,3.50259
P4:14,Java,Monolit,3.50254
P4:14,Java,Monolit,3.50113
P4:14,Java,Monolit,3.50101
P4:14,Java,Monolit,3.50095
P4:14,Java,Monolit,3.50232
P4:14,Java,Monolit,3.50234
P4:14,Java,Monolit,3.50065
P4:14,Java,Monolit,3.49954
P4:14,Java,Monolit,3.49945
P4:14,Java,Monolit,3.49946
P4:14,.NET,MSx1,3.53937
P4:14,.NET,MSx1,3.54129
P4:14,.NET,MSx1,3.54115
P4:14,.NET,MSx1,3.54091
P4:14,.NET,MSx1,3.5391
P4:14,.NET,MSx1,3.5391
P4:14,.NET,MSx1,3.53907
P4:14,.NET,MSx1,3.53932
P4:14,.NET,MSx1,3.53928
P4:14,.NET,MSx1,3.53948
P4:14,.NET,MSx1,3.5395
P4:14,.NET,MSx1,3.53933
P4:14,.NET,MSx1,3.53923
P4:14,.NET,MSx1,3.53917
P4:14,.NET,MSx1,3.53916
P4:14,.NET,MSx1,3.53918
P4:14,.NET,MSx1,3.54083
P4:14,.NET,MSx1,3.54066
P4:14,.NET,MSx1,3.54065
P4:14,.NET,MSx1,3.53895
P4:14,.NET,MSx3,3.59239
P4:14,.NET,MSx3,3.59464
P4:14,.NET,MSx3,3.59469
P4:14,.NET,MSx3,3.59284
P4:14,.NET,MSx3,3.59281
P4:14,.NET,MSx3,3.59286
P4:14,.NET,MSx3,3.59292
P4:14,.NET,MSx3,3.59297
P4:14,.NET,MSx3,3.59297
P4:14,.NET,MSx3,3.58987
P4:14,.NET,MSx3,3.58992
P4:14,.NET,MSx3,3.58987
P4:14,.NET,MSx3,3.58997
P4:14,.NET,MSx3,3.59008
P4:14,.NET,MSx3,3.5901
P4:14,.NET,MSx3,3.59015
P4:14,.NET,MSx3,3.59012
P4:14,.NET,MSx3,3.59014
P4:14,.NET,MSx3,3.59019
P4:14,.NET,MSx3,3.59024
P4:14,.NET,MSx6,3.65858
P4:14,.NET,MSx6,3.66051
P4:14,.NET,MSx6,3.66036
P4:14,.NET,MSx6,3.66034
P4:14,.NET,MSx6,3.66032
